treeid,qlegalstatus,qspecies,qaddress,siteorder,qsiteinfo,qcaretaker,plantdate,age,dbh,plotsize,latitude,longitude,location_2,location
80869,DPW Maintained,Pittosporum undulatum :: Victorian Box,161 Paris St,1,Sidewalk: Curb side : Cutout,Private,2008,15,8,3x3,37.72606175,-122.4315278,POINT(-122.4315278 37.72606175),POINT(-122.4315278 37.72606175)
28440,Permitted Site,Washingtonia robusta :: Mexican Fan Palm,2325 Ocean Ave,2,Sidewalk: Curb side : Cutout,Private,2003,20,12,3X3,37.72953383,-122.468657,POINT(-122.468657 37.72953383),POINT(-122.468657 37.72953383)
32936,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1224 18th St,1,Sidewalk: Curb side : Cutout,Private,1996,27,12,,37.7627328,-122.3951597,POINT(-122.3951597 37.7627328),POINT(-122.3951597 37.7627328)
256105,Planning Code 138.1 required,Tristaniopsis laurina :: Swamp Myrtle,1935 34th Ave,1,Sidewalk: Property side : Cutout,Private,2018,5,3,3x3,37.75099598,-122.4924393,POINT(-122.4924393 37.75099598),POINT(-122.4924393 37.75099598)
160442,DPW Maintained,Geijera parviflora :: Australian Willow,201 France Ave,2,Sidewalk: Curb side : Cutout,Private,2021,2,3,4x6,37.71916402,-122.4364214,POINT(-122.4364214 37.71916402),POINT(-122.4364214 37.71916402)
111747,Permitted Site,Tristania conferta ::,398X 03rd St,2,Sidewalk: Property side : Cutout,Private,2015,8,3,10x20,37.78277573,-122.3976642,POINT(-122.3976642 37.78277573),POINT(-122.3976642 37.78277573)
140465,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1440 TURK ST,4,Sidewalk: Curb side : Cutout,Private,2001,22,4,Width 0ft,37.78038767,-122.4334341,POINT(-122.4334341 37.78038767),POINT(-122.4334341 37.78038767)
196099,DPW Maintained,Quercus robur :: English Oak,1450 17th St,1,Sidewalk: Curb side : Cutout,Private,2018,5,3,Width 3ft,37.76511714,-122.3982298,POINT(-122.3982298 37.76511714),POINT(-122.3982298 37.76511714)
97958,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2280X McKinnon Ave,3,Sidewalk: Curb side : Cutout,Private,2011,12,2,3x3,37.74328025,-122.4021263,POINT(-122.4021263 37.74328025),POINT(-122.4021263 37.74328025)
67575,DPW Maintained,Pittosporum undulatum :: Victorian Box,565 Connecticut St,1,Sidewalk: Curb side : Cutout,Private,1992,31,9,,37.75912434,-122.3970676,POINT(-122.3970676 37.75912434),POINT(-122.3970676 37.75912434)
104602,DPW Maintained,Quercus suber :: Cork Oak,1945 Hyde St,3,Sidewalk: Curb side : Cutout,Private,2013,10,4,3x3,37.79882399,-122.419063,POINT(-122.419063 37.79882399),POINT(-122.419063 37.79882399)
95822,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1140 Folsom St,2,Sidewalk: Curb side : Cutout,Private,2011,12,3,3x3,37.77615789,-122.4087435,POINT(-122.4087435 37.77615789),POINT(-122.4087435 37.77615789)
28481,Permitted Site,Washingtonia robusta :: Mexican Fan Palm,2073 Ocean Ave,1,Sidewalk: Curb side : Cutout,Private,2003,20,12,3x3,37.72635426,-122.4654018,POINT(-122.4654018 37.72635426),POINT(-122.4654018 37.72635426)
48394,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2520 Clay St,1,Sidewalk: Curb side : Cutout,Private,2002,21,14,,37.79072427,-122.4346428,POINT(-122.4346428 37.79072427),POINT(-122.4346428 37.79072427)
258085,Planning Code 138.1 required,Cornus florida :: Eastern Dogwood,330 Twin Peaks Blvd,12,Sidewalk: Property side : Yard,Private,2019,4,3,10x10,37.75704188,-122.4474201,POINT(-122.4474201 37.75704188),POINT(-122.4474201 37.75704188)
265264,Section 806 (d),Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,1848 Green St,1,Sidewalk: Curb side : Cutout,Private,2021,2,3,3x3,37.79694372,-122.4295431,POINT(-122.4295431 37.79694372),POINT(-122.4295431 37.79694372)
22726,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1525 Turk St,3,Sidewalk: Curb side : Cutout,Private,1997,26,12,3X3,37.78019087,-122.4340529,POINT(-122.4340529 37.78019087),POINT(-122.4340529 37.78019087)
261029,DPW Maintained,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,863 31st Ave,1,Sidewalk: Curb side : Cutout,Private,2019,4,3,4x6,37.77297075,-122.4908087,POINT(-122.4908087 37.77297075),POINT(-122.4908087 37.77297075)
